sciName,comName
Tyrannulus elatus,Yellow-crowned Tyrannulet
Myiopagis gaimardii,Forest Elaenia
Myiopagis caniceps,Gray-headed Elaenia
Myiopagis flavivertex,Yellow-crowned Elaenia
Myiopagis viridicata,Greenish Elaenia
Elaenia cristata,Plain-crested Elaenia
Elaenia ruficeps,Rufous-crowned Elaenia
Elaenia flavogaster,Yellow-bellied Elaenia
Elaenia parvirostris,Small-billed Elaenia
Elaenia spectabilis,Large Elaenia
Elaenia chiriquensis,Lesser Elaenia
Elaenia albiceps,White-crested Elaenia
Serpophaga hypoleuca,River Tyrannulet
Zimmerius acer,Guianan Tyrannulet
Zimmerius gracilipes,Slender-footed Tyrannulet
Stigmatura napensis,Lesser Wagtail-Tyrant
Inezia subflava,Amazonian Tyrannulet
Myiophobus fasciatus,Bran-colored Flycatcher
Lathrotriccus euleri,Euler's Flycatcher
Contopus cooperi,Olive-sided Flycatcher
Contopus virens,Eastern Wood-Pewee
Cnemotriccus fuscatus,Fuscous Flycatcher
Sublegatus obscurior,Amazonian Scrub-Flycatcher
Sublegatus modestus,Southern Scrub-Flycatcher
Pyrocephalus rubinus,Vermilion Flycatcher
Knipolegus orenocensis,Riverside Tyrant
Ochthornis littoralis,Drab Water Tyrant
Nengetus cinereus,Gray Monjita
Arundinicola leucocephala,White-headed Marsh Tyrant
Fluvicola pica,Pied Water-Tyrant
Fluvicola albiventer,Black-backed Water-Tyrant
Colonia colonus,Long-tailed Tyrant
Ramphotrigon megacephalum,Large-headed Flatbill
Ramphotrigon ruficauda,Rufous-tailed Flatbill
Ramphotrigon fuscicauda,Dusky-tailed Flatbill
Attila phoenicurus,Rufous-tailed Attila
Attila cinnamomeus,Cinnamon Attila
Attila citriniventris,Citron-bellied Attila
Attila bolivianus,Dull-capped Attila
Attila spadiceus,Bright-rumped Attila
Sirystes albocinereus,White-rumped Sirystes
Sirystes sibilator,Sibilant Sirystes
Casiornis rufus,Rufous Casiornis
Rhytipterna simplex,Grayish Mourner
Rhytipterna immunda,Pale-bellied Mourner
Myiarchus tuberculifer,Dusky-capped Flycatcher
Myiarchus swainsoni,Swainson's Flycatcher
Myiarchus ferox,Short-crested Flycatcher
Myiarchus tyrannulus,Brown-crested Flycatcher
Pitangus sulphuratus,Great Kiskadee
Megarynchus pitangua,Boat-billed Flycatcher
Myiozetetes cayanensis,Rusty-margined Flycatcher
Myiozetetes similis,Social Flycatcher
Myiozetetes granadensis,Gray-capped Flycatcher
Myiozetetes luteiventris,Dusky-chested Flycatcher
Conopias parvus,Yellow-throated Flycatcher
Conopias trivirgatus,Three-striped Flycatcher
Myiodynastes maculatus,Streaked Flycatcher
Legatus leucophaius,Piratic Flycatcher
Empidonomus varius,Variegated Flycatcher
Empidonomus aurantioatrocristatus,Crowned Slaty Flycatcher
Tyrannopsis sulphurea,Sulphury Flycatcher
Tyrannus albogularis,White-throated Kingbird
Tyrannus melancholicus,Tropical Kingbird
Tyrannus tyrannus,Eastern Kingbird
Tyrannus savana,Fork-tailed Flycatcher
Cyclarhis gujanensis,Rufous-browed Peppershrike
Hylophilus pectoralis,Ashy-headed Greenlet
Hylophilus semicinereus,Gray-chested Greenlet
Hylophilus brunneiceps,Brown-headed Greenlet
Hylophilus thoracicus,Lemon-chested Greenlet
Vireolanius leucotis,Slaty-capped Shrike-Vireo
Tunchiornis ochraceiceps,Tawny-crowned Greenlet
Pachysylvia hypoxantha,Dusky-capped Greenlet
Pachysylvia muscicapina,Buff-cheeked Greenlet
Vireo olivaceus,Red-eyed Vireo
Vireo chivi,Chivi Vireo
Vireo flavoviridis,Yellow-green Vireo
Vireo altiloquus,Black-whiskered Vireo
Cyanocorax violaceus,Violaceous Jay
Cyanocorax cayanus,Cayenne Jay
Cyanocorax chrysops,Plush-crested Jay
Donacobius atricapilla,Black-capped Donacobius
Riparia riparia,Bank Swallow
Tachycineta albiventer,White-winged Swallow
Progne subis,Purple Martin
Progne chalybea,Gray-breasted Martin
Progne elegans,Southern Martin
Progne tapera,Brown-chested Martin
Stelgidopteryx ruficollis,Southern Rough-winged Swallow
Atticora tibialis,White-thighed Swallow
Atticora fasciata,White-banded Swallow
Pygochelidon cyanoleuca,Blue-and-white Swallow
Alopochelidon fucata,Tawny-headed Swallow
Hirundo rustica,Barn Swallow
Petrochelidon pyrrhonota,Cliff Swallow
Microbates collaris,Collared Gnatwren
Ramphocaenus melanurus,Long-billed Gnatwren
Polioptila plumbea,Tropical Gnatcatcher
Microcerculus marginatus,Scaly-breasted Wren
Microcerculus bambla,Wing-banded Wren
Odontorchilus cinereus,Tooth-billed Wren
Troglodytes aedon,House Wren
Campylorhynchus turdinus,Thrush-like Wren
Pheugopedius genibarbis,Moustached Wren
Pheugopedius coraya,Coraya Wren
Cantorchilus leucotis,Buff-breasted Wren
Henicorhina leucosticta,White-breasted Wood-Wren
Cyphorhinus arada,Musician Wren
Catharus fuscescens,Veery
Catharus minimus,Gray-cheeked Thrush
Turdus leucomelas,Pale-breasted Thrush
Turdus fumigatus,Cocoa Thrush
Turdus hauxwelli,Hauxwell's Thrush
Turdus albicollis,White-necked Thrush
Turdus sanchezorum,Varzea Thrush
Turdus lawrencii,Lawrence's Thrush
Turdus amaurochalinus,Creamy-bellied Thrush
Turdus ignobilis,Black-billed Thrush
Turdus olivater,Black-hooded Thrush
Estrilda astrild,Common Waxbill
Passer domesticus,House Sparrow
Euphonia plumbea,Plumbeous Euphonia
Euphonia chlorotica,Purple-throated Euphonia
Euphonia chrysopasta,Golden-bellied Euphonia
Euphonia minuta,White-vented Euphonia
Euphonia violacea,Violaceous Euphonia
Euphonia laniirostris,Thick-billed Euphonia
Euphonia xanthogaster,Orange-bellied Euphonia
Euphonia cayennensis,Golden-sided Euphonia
Euphonia rufiventris,Rufous-bellied Euphonia
Ammodramus humeralis,Grassland Sparrow
Ammodramus aurifrons,Yellow-browed Sparrow
Arremon taciturnus,Pectoral Sparrow
Zonotrichia capensis,Rufous-collared Sparrow
Dolichonyx oryzivorus,Bobolink
Leistes militaris,Red-breasted Meadowlark
Psarocolius angustifrons,Russet-backed Oropendola
Psarocolius viridis,Green Oropendola
Psarocolius decumanus,Crested Oropendola
Psarocolius bifasciatus,Olive Oropendola
Cacicus solitarius,Solitary Black Cacique
Cacicus cela,Yellow-rumped Cacique
Cacicus latirostris,Band-tailed Cacique
Cacicus haemorrhous,Red-rumped Cacique
Cacicus oseryi,Casqued Cacique
Icterus cayanensis,Epaulet Oriole
Icterus croconotus,Orange-backed Troupial
Molothrus bonariensis,Shiny Cowbird
Molothrus oryzivorus,Giant Cowbird
Lampropsar tanagrinus,Velvet-fronted Grackle
Gymnomystax mexicanus,Oriole Blackbird
Chrysomus icterocephalus,Yellow-hooded Blackbird
Leiothlypis peregrina,Tennessee Warbler
Geothlypis aequinoctialis,Masked Yellowthroat
Setophaga fusca,Blackburnian Warbler
Setophaga striata,Blackpoll Warbler
Myiothlypis fulvicauda,Buff-rumped Warbler
Myiothlypis rivularis,Riverbank Warbler
Lamprospiza melanoleuca,Red-billed Pied Tanager
Piranga rubra,Summer Tanager
Piranga olivacea,Scarlet Tanager
Habia rubica,Red-crowned Ant-Tanager
Periporphyrus erythromelas,Red-and-black Grosbeak
Caryothraustes canadensis,Yellow-green Grosbeak
Granatellus pelzelni,Rose-breasted Chat
Cyanoloxia rothschildii,Amazonian Grosbeak
Paroaria gularis,Red-capped Cardinal
Schistochlamys melanopis,Black-faced Tanager
Cissopis leverianus,Magpie Tanager
Nemosia pileata,Hooded Tanager
Thlypopsis sordida,Orange-headed Tanager
Eucometis penicillata,Gray-headed Tanager
Loriotus cristatus,Flame-crested Tanager
Loriotus luctuosus,White-shouldered Tanager
Tachyphonus surinamus,Fulvous-crested Tanager
Tachyphonus rufus,White-lined Tanager
Tachyphonus phoenicius,Red-shouldered Tanager
Lanio fulvus,Fulvous Shrike-Tanager
Lanio versicolor,White-winged Shrike-Tanager
Ramphocelus carbo,Silver-beaked Tanager
Ramphocelus nigrogularis,Masked Crimson Tanager
Cyanicterus cyanicterus,Blue-backed Tanager
Thraupis episcopus,Blue-gray Tanager
Thraupis palmarum,Palm Tanager
Ixothraupis varia,Dotted Tanager
Ixothraupis punctata,Spotted Tanager
Stilpnia cyanoptera,Black-headed Tanager
Stilpnia cayana,Burnished-buff Tanager
Stilpnia nigrocincta,Masked Tanager
Tangara mexicana,Turquoise Tanager
Tangara chilensis,Paradise Tanager
Tangara velia,Opal-rumped Tanager
Tangara gyrola,Bay-headed Tanager
Tangara schrankii,Green-and-gold Tanager
Tersina viridis,Swallow Tanager
Dacnis lineata,Black-faced Dacnis
Dacnis flaviventer,Yellow-bellied Dacnis
Dacnis cayana,Blue Dacnis
Cyanerpes caeruleus,Purple Honeycreeper
Cyanerpes cyaneus,Red-legged Honeycreeper
Chlorophanes spiza,Green Honeycreeper
Hemithraupis guira,Guira Tanager
Hemithraupis flavicollis,Yellow-backed Tanager
Conirostrum bicolor,Bicolored Conebill
Conirostrum margaritae,Pearly-breasted Conebill
Conirostrum speciosum,Chestnut-vented Conebill
Cypsnagra hirundinacea,White-rumped Tanager
Sicalis flaveola,Saffron Finch
Emberizoides herbicola,Wedge-tailed Grass-Finch
Volatinia jacarina,Blue-black Grassquit
Sporophila bouvronides,Lesson's Seedeater
Sporophila lineola,Lined Seedeater
Sporophila leucoptera,White-bellied Seedeater
Sporophila castaneiventris,Chestnut-bellied Seedeater
Sporophila minuta,Ruddy-breasted Seedeater
Sporophila bouvreuil,Copper Seedeater
Sporophila hypoxantha,Tawny-bellied Seedeater
Sporophila ruficollis,Dark-throated Seedeater
Sporophila angolensis,Chestnut-bellied Seed-Finch
Sporophila fringilloides,White-naped Seedeater
Sporophila nigricollis,Yellow-bellied Seedeater
Sporophila caerulescens,Double-collared Seedeater
Sporophila plumbea,Plumbeous Seedeater
Coryphaspiza melanotis,Black-masked Finch
Coryphospingus cucullatus,Red-crested Finch
Coereba flaveola,Bananaquit
Parkerthraustes humeralis,Yellow-shouldered Grosbeak
Saltator maximus,Buff-throated Saltator
Saltator coerulescens,Bluish-gray Saltator
Saltator grossus,Slate-colored Grosbeak
